State,County,State+CountyCode,Link_for_percents,Link_for_asbolute
 Alabama,Autauga County,0100010,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100010,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100010&year=2025&res=county
 Alabama,Baldwin County,0100030,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100030,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100030&year=2025&res=county
 Alabama,Barbour County,0100050,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100050,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100050&year=2025&res=county
 Alabama,Bibb County,0100070,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100070,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100070&year=2025&res=county
 Alabama,Blount County,0100090,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100090,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100090&year=2025&res=county
 Alabama,Bullock County,0100110,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100110,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100110&year=2025&res=county
 Alabama,Butler County,0100130,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100130,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100130&year=2025&res=county
 Alabama,Calhoun County,0100150,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100150,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100150&year=2025&res=county
 Alabama,Chambers County,0100170,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100170,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100170&year=2025&res=county
 Alabama,Cherokee County,0100190,https://maps.nrel.gov/slope/energy-snapshot?geoId=G0100190,https://maps.nrel.gov/slope/data-viewer?filters=%5B%5D&layer=energy-consumption.net-electricity-and-natural-gas-consumption&geoId=G0100190&year=2025&res=county
